section,record_type,field,value
Statement,Data,Title,Activity Statement
Statement,Data,Period,"May 1, 2025 - April 10, 2026"
Statement,Data,WhenGenerated,"2026-04-11, 11:47:58 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Robert Y Tiger
Account Information,Data,Account Alias,U3314869 Robert Yonatan Tiger
Account Information,Data,Account,U3314869 (Custom Consolidated)
Account Information,Data,Accounts Included,"U3314869, U21335661"
Account Information,Data,Master Name,Israel Interactive Trading - Mexem Ltd
Account Information,Data,Account Type,Broker Client
Account Information,Data,Customer Type,Individual
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total
Net Asset Value,Data,Cash,103.446355878
Net Asset Value,Data,Collateral Value,14102
Net Asset Value,Data,Stock,115326.58
Net Asset Value,Data,Securities Lent,-14102
Net Asset Value,Data,Interest Accruals,1.05
Net Asset Value,Data,Dividend Accruals,55.06
Net Asset Value,Data,Total,115486.136355878
Net Asset Value,Header,Time Weighted Rate of Return,
Net Asset Value,Data,-6.123456182%,
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,115486.136355878
Change in NAV,Data,Mark-to-Market,-24576.47364885
Change in NAV,Data,Deposits & Withdrawals,12194.186
Change in NAV,Data,Dividends,18139.68
Change in NAV,Data,Withholding Tax,-276.93
Change in NAV,Data,Change in Dividend Accruals,-39.33
Change in NAV,Data,Interest,-1003.53
Change in NAV,Data,Change in Interest Accruals,-1.05
Change in NAV,Data,Commissions,-284.80307624
Change in NAV,Data,Transaction Fees,-156.49
Change in NAV,Data,Other FX Translations,0.02
Change in NAV,Data,Ending Value,119481.415626306
Mark-to-Market Performance Summary,Header,Asset Category,Symbol
Mark-to-Market Performance Summary,Data,Stocks,AAPL
Mark-to-Market Performance Summary,Data,Stocks,ABBV
Mark-to-Market Performance Summary,Data,Stocks,ACHR
Mark-to-Market Performance Summary,Data,Stocks,AMZN
Mark-to-Market Performance Summary,Data,Stocks,ASML
Mark-to-Market Performance Summary,Data,Stocks,ASTS
Mark-to-Market Performance Summary,Data,Stocks,BEN
Mark-to-Market Performance Summary,Data,Stocks,CRWD
Mark-to-Market Performance Summary,Data,Stocks,DPZ
Mark-to-Market Performance Summary,Data,Stocks,DUOL
Mark-to-Market Performance Summary,Data,Stocks,EFX
Mark-to-Market Performance Summary,Data,Stocks,ET
Mark-to-Market Performance Summary,Data,Stocks,ETHA
Mark-to-Market Performance Summary,Data,Stocks,FICO
Mark-to-Market Performance Summary,Data,Stocks,GE
Mark-to-Market Performance Summary,Data,Stocks,GOOG
Mark-to-Market Performance Summary,Data,Stocks,IGV
Mark-to-Market Performance Summary,Data,Stocks,JEPI
Mark-to-Market Performance Summary,Data,Stocks,JPM
Mark-to-Market Performance Summary,Data,Stocks,KO
Mark-to-Market Performance Summary,Data,Stocks,LMT
