symbol,position,last,change_pct,avg_price,cost_basis,market_value,unrealized_pl,unrealized_pl_pct,pe,eps_current
AMZN,36.0,238.4,2.03,226.132,8141.0,8584.0,443.0,5.4,32.6,
ASML,5.6,1480.13,2.17,1371.083,7678.0,8294.0,616.0,8.0,50.1,
FICO,1.09,920.7,-14.14,1132.413,1234.0,1004.0,-231.0,-18.7,39.7,
GOOG,40.0,316.3,-0.02,288.793,11552.0,12652.0,1100.0,9.5,29.5,
IGV,30.0,74.7,-2.53,87.355,2621.0,2241.0,-380.0,-14.5,,3.64
JPM,15.0,310.1,-0.07,308.79,4632.0,4652.0,20.0,0.4,15.5,
META,18.0,630.85,0.39,606.22,10912.0,11355.0,443.0,4.1,21.5,
MSFT,14.0,371.7,-0.37,421.212,5897.0,5204.0,-693.0,-11.8,23.3,
QQQ,69.2812,612.49,0.38,597.405,41389.0,42434.0,1045.0,2.5,,22.68
RGTI,22.0,14.68,2.59,20.428,449.0,323.0,-126.0,-28.1,,
RKLB,75.0,68.37,2.44,73.858,5539.0,5128.0,-412.0,-7.4,,
TSLA,2.0,351.3,1.64,427.058,854.0,703.0,-152.0,-17.7,321.3,
UBER,80.0,70.6,-1.69,71.917,5753.0,5648.0,-105.0,-1.8,15.2,
