section,record_type,field,value
Statement,Data,Title,Realized Summary
Statement,Data,Period,"May 1, 2025 - April 10, 2026"
Statement,Data,WhenGenerated,"2026-04-11, 11:45:57 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Robert Y Tiger
Account Information,Data,Account Alias,U3314869 Robert Yonatan Tiger
Account Information,Data,Account,U3314869 (Custom Consolidated)
Account Information,Data,Accounts Included,"U3314869, U21335661"
Account Information,Data,Master Name,Israel Interactive Trading - Mexem Ltd
Account Information,Data,Account Type,Broker Client
Account Information,Data,Customer Type,Individual
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total
Net Asset Value,Data,Cash,103.446355878
Net Asset Value,Data,Collateral Value,14102
Net Asset Value,Data,Stock,115326.58
Net Asset Value,Data,Securities Lent,-14102
Net Asset Value,Data,Interest Accruals,1.05
Net Asset Value,Data,Dividend Accruals,55.06
Net Asset Value,Data,Total,115486.136355878
Net Asset Value,Header,Time Weighted Rate of Return,
Net Asset Value,Data,-6.123456182%,
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,115486.136355878
Change in NAV,Data,Details not available,
Change in NAV,Data,Ending Value,119481.415626306
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol
Realized & Unrealized Performance Summary,Data,Stocks,AAPL
Realized & Unrealized Performance Summary,Data,Stocks,ABBV
Realized & Unrealized Performance Summary,Data,Stocks,ACHR
Realized & Unrealized Performance Summary,Data,Stocks,AMZN
Realized & Unrealized Performance Summary,Data,Stocks,ASML
Realized & Unrealized Performance Summary,Data,Stocks,ASTS
Realized & Unrealized Performance Summary,Data,Stocks,BEN
Realized & Unrealized Performance Summary,Data,Stocks,CRWD
Realized & Unrealized Performance Summary,Data,Stocks,DPZ
Realized & Unrealized Performance Summary,Data,Stocks,DUOL
Realized & Unrealized Performance Summary,Data,Stocks,EFX
Realized & Unrealized Performance Summary,Data,Stocks,ET
Realized & Unrealized Performance Summary,Data,Stocks,ETHA
Realized & Unrealized Performance Summary,Data,Stocks,FICO
Realized & Unrealized Performance Summary,Data,Stocks,GE
Realized & Unrealized Performance Summary,Data,Stocks,GOOG
Realized & Unrealized Performance Summary,Data,Stocks,IGV
Realized & Unrealized Performance Summary,Data,Stocks,JEPI
Realized & Unrealized Performance Summary,Data,Stocks,JPM
Realized & Unrealized Performance Summary,Data,Stocks,KO
Realized & Unrealized Performance Summary,Data,Stocks,LMT
Realized & Unrealized Performance Summary,Data,Stocks,MA
Realized & Unrealized Performance Summary,Data,Stocks,META
Realized & Unrealized Performance Summary,Data,Stocks,MO
Realized & Unrealized Performance Summary,Data,Stocks,MSCI
Realized & Unrealized Performance Summary,Data,Stocks,MSFT
Realized & Unrealized Performance Summary,Data,Stocks,MSTY
Realized & Unrealized Performance Summary,Data,Stocks,NFLX
Realized & Unrealized Performance Summary,Data,Stocks,NVDA
Realized & Unrealized Performance Summary,Data,Stocks,O
Realized & Unrealized Performance Summary,Data,Stocks,OKLO
Realized & Unrealized Performance Summary,Data,Stocks,ORCL
Realized & Unrealized Performance Summary,Data,Stocks,PANW
Realized & Unrealized Performance Summary,Data,Stocks,PLTR
Realized & Unrealized Performance Summary,Data,Stocks,QQQ
Realized & Unrealized Performance Summary,Data,Stocks,QQQI
Realized & Unrealized Performance Summary,Data,Stocks,RGTI
Realized & Unrealized Performance Summary,Data,Stocks,RKLB
Realized & Unrealized Performance Summary,Data,Stocks,SBUX
Realized & Unrealized Performance Summary,Data,Stocks,SMH
Realized & Unrealized Performance Summary,Data,Stocks,SPG
Realized & Unrealized Performance Summary,Data,Stocks,T
Realized & Unrealized Performance Summary,Data,Stocks,TSLA
Realized & Unrealized Performance Summary,Data,Stocks,TXRH
Realized & Unrealized Performance Summary,Data,Stocks,UBER
Realized & Unrealized Performance Summary,Data,Stocks,ULTY
Realized & Unrealized Performance Summary,Data,Stocks,V
Realized & Unrealized Performance Summary,Data,Stocks,VICI
Realized & Unrealized Performance Summary,Data,Stocks,VRT
Realized & Unrealized Performance Summary,Data,Total,
Realized & Unrealized Performance Summary,Data,Forex,ILS
Realized & Unrealized Performance Summary,Data,Total,
Realized & Unrealized Performance Summary,Data,Total (All Assets),
Open Positions,Header,DataDiscriminator,Asset Category
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Data,Summary,Stocks
Open Positions,Total,,Stocks
Forex Balances,Header,Asset Category,Currency
Forex Balances,Data,Forex,USD
Forex Balances,Data,Forex,USD
Forex Balances,Data,Total,
Trades,Header,DataDiscriminator,Asset Category
Trades,Data,Order,Stocks
